Escalation - Sub Reason (Specific Issue Type),Details (What the problem is),Example
Label/Document Failure,"Inability to print shipping labels, BOLs, or other documents due to system error, missing information, or code validation issues.","""I'm unable to print the shipping document for this PO due to the 'label box' is missing."""
API/Platform Blockers,"Major system issues preventing bulk operations, processing, or data exchange (EDI/API) that affect multiple orders or core functions.","""Supplier said they cannot accepting and fulfilling the orders (more than 600 orders) normally due to an API error."""
System Feature Failure,"Core actions (cancel, change speed, reroute) fail due to an error code or system freeze, requiring an override.","""I am unable to change the shipping method for PO CS611950260 because the order wizard cannot load the product information for this order."""
Status Conflict (Shipped/OOS),"The Purchase Order (PO) is marked as 'Shipped' in the system, but the supplier confirms the product is Out of Stock (OOS), Discontinued, or was not shipped.","""PO CS611523652 has been discontinued and the supplier has requested to cancel the order."""
Mismatched Status/Stuck,Statuses are inconsistent across platforms (OW vs. PH) or the system cannot remove an 'Overdue' status after the issue has been resolved.,"""PO CS611380780 has been canceled, but it is still marked as overdue on Partner Home."""
Missing/Incorrect Data,"Tracking, carrier, or dates are not updating correctly or POs are missing entirely from the supplier's view.","""The carrier is not updated correctly on Partner Home. Please help us resolve this issue."""
Ineligible Cancellation/Change,"A cancellation or change request (e.g., ship speed) is rejected due to a hard business rule ('MADE_TO_ORDER', 'MyWay Subscription').","""We cannot cancel any sample due to 'ORDER_ITEM_IS_MADE_TO_ORDER'. Please help us cancel 1 sample."""
Replacement/Logistics Error,"Issues surrounding replacement PO creation, split shipments where a label is missing, or problems with WDN (Wayfair Delivery Network) orders that cannot be manually updated.","""PO CS613435907 includes two packages, one has already been shipped... The supplier needs to add an additional shipping label for the second package."""
Financial/Claim/Refund,"Requests for partial refunds, compensation agreements, or assistance with filing a claim for damaged/lost goods with the carrier.","""The supplier has informed us that they have reached a 15% discount compensation agreement with the customer, but they are unable to process a partial refund."""
Policy & Guidance Gap,"Supplier asks questions about performance metrics, specialized logistics terms, or the agent lacks the internal SOP/knowledge to advise (e.g., B2B orders).","""The supplier would like to inquire whether the cancellation of these orders will have any impact on the store’s performance."""
