Ticket ID,Ticket URL,SOP Followed,Steps Taken,Any Other Comments,Escalation - Sub Reason (Specific Issue Type)
AOPS-1354948,https://supporthub.service.csnzoo.com/browse/AOPS-1354948,N/A,N/A,The supplier informed us that the item is out of stock and requested to delay the PO.,Policy & Guidance Gap
AOPS-1354945,https://supporthub.service.csnzoo.com/browse/AOPS-1354945,N/A,N/A,The supplier informed us that the item is out of stock and requested to delay the PO.,Policy & Guidance Gap
AOPS-1354944,https://supporthub.service.csnzoo.com/browse/AOPS-1354944,N/A,N/A,The supplier informed us that the item is out of stock and requested to delay the PO.,Policy & Guidance Gap
AOPS-1354678,https://supporthub.service.csnzoo.com/browse/AOPS-1354678,N/A,N/A,The supplier informed us that the item is out of stock and requested to delay the PO.,Policy & Guidance Gap
AOPS-1355102,https://supporthub.service.csnzoo.com/browse/AOPS-1355102,N/A,N/A,"The supplier wants to change the shipping speed to Ground, but there is no 'Ground' option available for us to select. Could you please look into this? Thank you!",System Feature Failure
AOPS-1353245,https://supporthub.service.csnzoo.com/browse/AOPS-1353245,N/A,N/A,"The supplier inquired about the reason for the replacement order CS616853523 (for CS616239036). They explained that the original order was delivered on October 25th under tracking number 474080948569. I have checked and confirmed that this tracking shows a ""Delivered"" status. Could you please look into this? Thank you",Replacement/Logistics Error
AOPS-1354095,https://supporthub.service.csnzoo.com/browse/AOPS-1354095,N/A,N/A,"The supplier inquired about the reason for the replacement order CS617167623 (for CS616015183). They explained that the original order was delivered on October 24th under tracking number 474080067695. I have checked and confirmed that this tracking shows a ""Delivered"" status. Could you please look into this? Thank you",Replacement/Logistics Error
AOPS-1354048,https://supporthub.service.csnzoo.com/browse/AOPS-1354048,N/A,N/A,"PO CS617524862 includes two items, one has already been shipped with an existing label, while the other has not yet been shipped. The supplier needs to add an additional shipping label for the second item in order to ship it. However, since this PO has already been marked as shipped, no additional label can be generated. Could you please look into this and help generate a new replacement PO for them? Thank you.",Replacement/Logistics Error
AOPS-1355297,https://supporthub.service.csnzoo.com/browse/AOPS-1355297,N/A,N/A,"The supplier informed us that the item is out of stock and requested to cancel the PO. However, after checking in the Order Wizard, I found that the order has already been marked as shipped, Additionally, the status on Partner Home also shows that the PO is In Transit (Awaiting for carrier scan). Could you please help me generate a new replacement PO for this case? Thank you very much for your support.",Status Conflict (Shipped/OOS)
AOPS-1355094,https://supporthub.service.csnzoo.com/browse/AOPS-1355094,N/A,N/A,"Supplier wants to be actived the Customer Service Cold Transfer service. Please help supplier solve this, thank you.",Policy & Guidance Gap
AOPS-1354902,https://supporthub.service.csnzoo.com/browse/AOPS-1354902,N/A,N/A,This PO was marked as shipped but it hasn't indeed been shipped yet. Replacement PO Needed. Thank you!,Status Conflict (Shipped/OOS)
AOPS-1354898,https://supporthub.service.csnzoo.com/browse/AOPS-1354898,N/A,N/A,This PO was marked as shipped but it hasn't indeed been shipped yet. Replacement PO Needed. Thank you!,Status Conflict (Shipped/OOS)
AOPS-1355202,https://supporthub.service.csnzoo.com/browse/AOPS-1355202,N/A,N/A,"The supplier stated that they made a mistake during the shipment process, confusing order CA616572225 with order CA616429835 as being the same order. Currently, order CA616572225 is using the tracking number of another order. They have requested the order to be resent but have not received a response. Therefore, they request that the status of order CA616572225 be changed to Pending Delivery"". Replacement PO Needed. Thank you!""",Replacement/Logistics Error
AOPS-1354275,https://supporthub.service.csnzoo.com/browse/AOPS-1354275,N/A,N/A,"PO CS612051394 has been replaced with CS614964515, however the status is still Pending Ship Confirmation and overdue on the supplier's partner home. Please help the supplier cancel this PO, thank you.",Mismatched Status/Stuck
AOPS-1355139,https://supporthub.service.csnzoo.com/browse/AOPS-1355139,N/A,N/A,"The supplier informed that the shipping label was blank, which caused the parcel to be returned. They need a new shipping label to resend the goods. Replacement PO Needed. Thank you!",Label/Document Failure
AOPS-1355262,https://supporthub.service.csnzoo.com/browse/AOPS-1355262,N/A,N/A,"The supplier informed that these POs are listed as returns from Wayfair, but upon checking, their warehouse has not received the returned items. They requested assistance in providing the return tracking numbers to resolve the issue. We have checked the return tracking in the system but could not find any movement. Please assist the supplier with this matter. Thank you.",Missing/Incorrect Data
AOPS-1354820,https://supporthub.service.csnzoo.com/browse/AOPS-1354820,,,"Supplier has tech issue with dropship order. please help supplier, thank you",API/Platform Blockers
AOPS-1355862,https://supporthub.service.csnzoo.com/browse/AOPS-1355862,N/A,N/A,The system does not allow us changing the ship speed. Please help us resolve the issue.,System Feature Failure
AOPS-1353652,https://supporthub.service.csnzoo.com/browse/AOPS-1353652,N/A,N/A,"The customer believes the order was shipped incorrectly due to a missing hardware pack, but the supplier has confirmed that they do not include these accessories and do not advertise them as included. Meanwhile, a replacement order was generated requesting a brand new shower curtain.",Replacement/Logistics Error
AOPS-1355067,https://supporthub.service.csnzoo.com/browse/AOPS-1355067,N/A,N/A,"PO CS617916598 and PO CS617986986 have been marked as shipped in the system, but the supplier informed us that they have not shipped these two orders. Please create new POs for the supplier. Thank you.",Status Conflict (Shipped/OOS)
AOPS-1355748,https://supporthub.service.csnzoo.com/browse/AOPS-1355748,N/A,N/A,"Supplier said this order is not getting exported to SFTP and file is not getting created. This is out of my scope. Please help supplier solve this, thank you.",API/Platform Blockers
